amsterdam-attraction
address,id,lat,lng,location,name,subCategory,details,reviews
Natura Artis Magistra,30486,52.365211,4.920116,Amsterdam,Zeeleeuwen,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=30486,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30486
Plantage Middenlaan 51,30215,52.364600748741,4.9178516864777,Amsterdam,Artis Aquarium,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=30215,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30215
,29288,52.388301,4.838878,Amsterdam,Wots Plees,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=29288,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29288
,30914,52.354703,4.956367,Amsterdam,Masha's Queendom,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=30914,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30914
"Admiraal de Ruijterweg 346, 1055 Bos en Lommer",29402,52.381007465859,4.8538703520599,Amsterdam,Kids Pitstop,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=29402,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29402
Amsterdam,28348,52.356341851732,4.9945360563473,Amsterdam,2013,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=28348,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28348
Leeuwendalersweg 726,29078,52.377399486636,4.8392453319668,Amsterdam,Scala,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=29078,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29078
Sierplein 2,29025,52.355795,4.8265814781189,Amsterdam,Het Siertje,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=29025,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29025
Ter Kleef 1,29670,52.324723,4.867611,Amsterdam,"Bar-Restaurant ""La Brochette""",Arcade,http://tour-pedia.org/api/getPlaceDetails?id=29670,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29670
,28964,52.341197967529,4.8115367889404,Amsterdam,Halfpipe Nieuw Sloten,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=28964,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28964
,28999,52.390578,4.831385,Amsterdam,Salsa Congress,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=28999,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28999
,29392,52.390818,4.856695,Amsterdam,A Lisa Kluis,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=29392,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29392
,29500,52.386078049423,4.8723551505594,Amsterdam,Medialab Cinekid,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=29500,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29500
,29609,52.376590195715,4.8815415917967,Amsterdam,TommieB,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=29609,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29609
,30041,52.336091,4.886453,Amsterdam,Mob! Lounge,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=30041,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30041
,30306,52.395986,4.929047,Amsterdam,Eurotour,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=30306,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30306
,30405,52.33755,4.935832,Amsterdam,Earforce,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=30405,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30405
amsteldijk,30033,52.323721580385,4.8946279766721,Amsterdam,Rembrandt Beeld,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30033,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30033
Amstelpark 22,29948,52.328756622614,4.8929441348951,Amsterdam,Het Glazen Huis,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29948,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29948
Apollolaan,29817,52.350555404378,4.8727170801557,Amsterdam,ArtZuid,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29817,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29817
Balbaoplein,29322,52.368787,4.855637,Amsterdam,Inside Out Project,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29322,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29322
"Bloemstraat, 64",29098,52.353455,4.840656,Amsterdam,Schilderatelier Hans Verwoerd,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29098,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29098
Burg de Vlugtlaan 125,29003,52.380197400695,4.8271612118754,Amsterdam,GOLEB,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29003,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29003
Cornelis Schuytstraat 57,29818,52.353809,4.872614,Amsterdam,Christie's,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29818,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29818
Cruquiusweg,30659,52.368623,4.951659,Amsterdam,De Service Garage,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30659,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30659
Generaal Vetterstraat 75,29242,52.343592,4.846923,Amsterdam,Atelier De Generaal,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29242,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29242
Haarlemerweg,28911,52.384625217166,4.8185884180254,Amsterdam,Aaf,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=28911,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28911
Hemonystraat,30385,52.356073343545,4.9029068836428,Amsterdam,Galerie & Coffeeshop Yo-yo,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30385,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30385
Ijburglaan 1568,31035,52.351191,5.00165,Amsterdam,Ijburgcorners,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=31035,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31035
Lekstraat 63,30267,52.344095,4.902747,Amsterdam,AAG,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30267,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30267
neveritaweg 15,29864,52.401128688627,4.8959545567622,Amsterdam,NDSM Art Warp,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29864,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29864
Nieuwe Hemweg 4c,29395,52.394599914551,4.8660655021667,Amsterdam,Globe Centers,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29395,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29395
Nieuwendammerkade 24C,30623,52.390513637441,4.9390641708385,Amsterdam,Barn In The City,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30623,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30623
Ouderkerkerdijk 215,30037,52.323238675168,4.8963694139705,Amsterdam,oranjevelt,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30037,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30037
Schellingwouderdijk 243,30848,52.38426366819,4.9624729156494,Amsterdam,Keramiek Atelier en Galerie Marjoke de Heer,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30848,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30848
Sloterweg 712,29135,52.342652,4.820393,Amsterdam,atelier pipa,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29135,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29135
Spiegelgracht 61,30638,52.371386286753,4.9317127930103,Amsterdam,Gallery SIXTY ONE,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30638,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30638
Tolhuisweg 2,30087,52.384044813653,4.9058993289693,Amsterdam,Open Coop,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30087,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30087
Voc-Kade 10-12,30346,52.371663418954,4.9256904798219,Amsterdam,Mediamatic Fabriek,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30346,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30346
Weesperzijde 94,30401,52.352319,4.910933,Amsterdam,Galerie Weesperzijde,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30401,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30401
Westerdok 318,30197,52.38437499224,4.8917055130005,Amsterdam,Ateliers Westerdok,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30197,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30197
Wibautstraat 150,30375,52.353987,4.912056,Amsterdam,Volkskrantgebouw,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30375,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30375
Wieringerwaardstraat,30722,52.394778,4.956215,Amsterdam,Tattoo Linda,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30722,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30722
Wormerveerstraat 15,29581,52.389507636574,4.8765077758659,Amsterdam,WV 15,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29581,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29581
Zuider IJdijk 26,30761,52.368256288885,4.9603350315589,Amsterdam,Kunstenaarsdorp,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30761,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30761
,28578,52.360317,4.783522,Amsterdam,Sbk,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=28578,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28578
,28612,52.34634,4.78479,Amsterdam,Lelijk Kunstwerk,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=28612,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28612
,28662,52.351044254499,4.7947169683336,Amsterdam,De Serre,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=28662,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28662
,28904,52.416378,4.826716,Amsterdam,New Circle,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=28904,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28904
,29492,52.386114,4.873807,Amsterdam,Kallenbach Gallery,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29492,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29492
,29498,52.383915,4.872184,Amsterdam,Unruly Gallery,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29498,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29498
,30245,52.349852284281,4.9124352889694,Amsterdam,Studio Tuari,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30245,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30245
