address,Name,id,lat,lng,location,subCategory,details,reviews
,Yellow Bone Crib Yani,26351,52.377218,4.805909,Amsterdam,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=26351,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26351
,poidude's,26258,52.350923,4.784998,Amsterdam,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=26258,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26258
,Elza's Huisje,28312,52.38777923584,4.9888777732849,Amsterdam,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=28312,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28312
Spaarndammerdijk 302,Art Café Amsterdam,26937,52.392827,4.868765,Amsterdam,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=26937,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26937
Amsterdam RAI,The Beach @ IBC 2013,27526,52.341385738539,4.8864259875077,Amsterdam,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=27526,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=27526
,T Pakhuis,27214,52.393066145076,4.8813717859266,Amsterdam,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=27214,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=27214
Subang Parade,Fridays,26634,52.385501,4.8377784,Amsterdam,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=26634,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26634
,Net buiten schoolplein,26420,52.354306,4.806161,Amsterdam,Arepa Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=26420,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26420
,Andrew's Coffeshop & Lounge,26877,52.369485,4.865914,Amsterdam,Arepa Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=26877,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26877
Martelaarsgracht 8,Flame Grill Restaurant,27598,52.37778786591,4.8966275447501,Amsterdam,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=27598,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=27598
Damstraat 5,CAU,27375,52.372495,4.894477,Amsterdam,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=27375,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=27375
,Buffalo Steakhouse,27528,52.345075338858,4.8908715114466,Amsterdam,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=27528,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=27528
Damstraat 34,Argentinos-Barberelli Grill,27385,52.37207468044,4.895293917628,Amsterdam,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=27385,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=27385
Rozengracht 5,Argentijns Restaurant Amigo,27117,52.373854983358,4.8823100820944,Amsterdam,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=27117,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=27117
