name,lat,lng,location,subcategory
Zeeleeuwen,52.365211,4.920116,Amsterdam,Aquarium
Artis Aquarium,52.36460075,4.917851686,Amsterdam,Aquarium
Wots Plees,52.388301,4.838878,Amsterdam,Aquarium
Masha's Queendom,52.354703,4.956367,Amsterdam,Aquarium
Kids Pitstop,52.38100747,4.853870352,Amsterdam,Arcade
2013,52.35634185,4.994536056,Amsterdam,Arcade
Scala,52.37739949,4.839245332,Amsterdam,Arcade
Het Siertje,52.355795,4.826581478,Amsterdam,Arcade
"Bar-Restaurant ""La Brochette""",52.324723,4.867611,Amsterdam,Arcade
Halfpipe Nieuw Sloten,52.34119797,4.811536789,Amsterdam,Arcade
Salsa Congress,52.390578,4.831385,Amsterdam,Arcade
A Lisa Kluis,52.390818,4.856695,Amsterdam,Arcade
Medialab Cinekid,52.38607805,4.872355151,Amsterdam,Arcade
TommieB,52.3765902,4.881541592,Amsterdam,Arcade
Mob! Lounge,52.336091,4.886453,Amsterdam,Arcade
Eurotour,52.395986,4.929047,Amsterdam,Arcade
Earforce,52.33755,4.935832,Amsterdam,Arcade
Rembrandt Beeld,52.32372158,4.894627977,Amsterdam,Art Gallery
Het Glazen Huis,52.32875662,4.892944135,Amsterdam,Art Gallery
ArtZuid,52.3505554,4.87271708,Amsterdam,Art Gallery
Inside Out Project,52.368787,4.855637,Amsterdam,Art Gallery
Schilderatelier Hans Verwoerd,52.353455,4.840656,Amsterdam,Art Gallery
GOLEB,52.3801974,4.827161212,Amsterdam,Art Gallery
Christie's,52.353809,4.872614,Amsterdam,Art Gallery
De Service Garage,52.368623,4.951659,Amsterdam,Art Gallery
Atelier De Generaal,52.343592,4.846923,Amsterdam,Art Gallery
Aaf,52.38462522,4.818588418,Amsterdam,Art Gallery
Galerie & Coffeeshop Yo-yo,52.35607334,4.902906884,Amsterdam,Art Gallery
Ijburgcorners,52.351191,5.00165,Amsterdam,Art Gallery
AAG,52.344095,4.902747,Amsterdam,Art Gallery
NDSM Art Warp,52.40112869,4.895954557,Amsterdam,Art Gallery
Globe Centers,52.39459991,4.866065502,Amsterdam,Art Gallery
