address,id,lat,lng,location,name,subCategory,,
Vorarlberger Damm,94567,52.475391626356,13.359503746032,Berlin,Vorarlberger Damm,Apres Ski Bar,http://tour-pedia.org/api/getPlaceDetails?id=94567,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94567
Spandauer Straße 3,92332,52.520118439317,13.404049873352,Berlin,Aquadom & SEA LIFE Berlin,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=92332,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92332
,107888,52.610145,13.419984,Berlin,Badewanne @Badezimmer :),Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=107888,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=107888
,110354,52.515246602171,13.469957638134,Berlin,Chez Gocht,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=110354,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=110354
Berliner Strasse 144,110378,52.48627610106,13.325156228562,Berlin,Bei Bernd Scheide,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=110378,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=110378
,111250,52.545508,13.199372,Berlin,Tiger's Home,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=111250,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=111250
,111251,52.545441912023,13.199498415838,Berlin,Tiger's Home,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=111251,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=111251
afrikanischeStar 25,111550,52.558681488037,13.342061042786,Berlin,liverpooler,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=111550,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=111550
,112382,52.466989061757,13.439936111588,Berlin,Die WIRKLICHE Silbersonne,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=112382,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=112382
Absagaouistreet,112729,52.519515991211,13.29029750824,Berlin,bei hudaaa,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=112729,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=112729
