address,name,id,lat,lng,location,subCategory,details,reviews
,Digital Communication Awards - Ceremony,107294,52.529219975055,13.298536671356,Berlin,Afghan Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=107294,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=107294
biesenbrower Straße 25,eltern,107371,52.568031311035,13.53050994873,Berlin,Afghan Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=107371,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=107371
,Mama Africa,114169,52.477405548096,13.424785614014,Berlin,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=114169,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114169
,Aicy & Mimi,111838,52.483631,13.422991,Berlin,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=111838,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=111838
Reuterstr. 56,Sahara - Sudanesische Spezialitäten,100181,52.488393,13.428798,Berlin,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=100181,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=100181
,Lol,109562,52.495384023556,13.286117080855,Berlin,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=109562,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=109562
Wiener Str. 64,Khartoum,99302,52.49888372746,13.428026606021,Berlin,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=99302,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=99302
Siemenswerder Weg 23,Zansibar,96163,52.509374,13.208864,Berlin,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=96163,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=96163
,Aaaaaaaaaaaaaaaaaaaaaaaaaaaa,104689,52.513722,13.518877,Berlin,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=104689,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=104689
Kamminer Str. 35,Royal Aerostar Berlin,101777,52.524698003905,13.299471411226,Berlin,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=101777,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=101777
Kaiserin-Augusta-Allee 48,Mary Queen,106582,52.525759010772,13.307205240192,Berlin,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=106582,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=106582
Schönfließer Str.,Cape Town,94364,52.551738736291,13.408231309093,Berlin,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=94364,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94364
,Down Town Garage,98578,52.413263950372,13.660806702006,Berlin,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=98578,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=98578
,Lydia's,108787,52.454731,13.385061,Berlin,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=108787,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=108787
,Lidya's Diner & Coffee,98637,52.454903534143,13.385028073658,Berlin,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=98637,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=98637
Pariser Str. 42,CUT! Moviecafe,108791,52.498274115709,13.31914378702,Berlin,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=108791,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=108791
Nürnberger Str. 14,Luigi Zuckermann,107173,52.502517910894,13.338523465275,Berlin,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=107173,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=107173
,Burgerking,105874,52.510359777159,13.50053213999,Berlin,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=105874,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=105874
Frieda-Arnheim-Promenade 7,Mississippi,96045,52.546313,13.212703,Berlin,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=96045,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=96045
Neuendorfer Strasse 39,Go In American Restaurant,100094,52.549684449849,13.21073676748,Berlin,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=100094,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=100094
