id,listing_url,name,picture_url,host_name,host_since,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
528022,https://www.airbnb.com/rooms/528022,Somewhere Else,https://a0.muscache.com/pictures/bf6fa79c-5863-49bc-a29e-76efd126b070.jpg,Els,2012-06-10,f,t,Westerpark,52.39114,4.88846,Private room in boat,Private room,2,$100.00,2,248,4.85,4.88,4.83,4.93,4.9,4.78,4.72
2818,https://www.airbnb.com/rooms/2818,Quiet Garden View Room & Super Fast Wi-Fi,https://a0.muscache.com/pictures/10272854/8dcca016_original.jpg,Daniel,2008-09-24,t,t,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room in rental unit,Private room,2,$59.00,3,314,4.89,4.93,4.99,4.97,4.98,4.69,4.81
20168,https://www.airbnb.com/rooms/20168,Studio with private bathroom in the centre 1,https://a0.muscache.com/pictures/69979628/fd6a3a80_original.jpg,Alexander,2009-12-02,f,t,Centrum-Oost,52.36407,4.89393,Private room in townhouse,Private room,2,$106.00,1,339,4.44,4.69,4.79,4.63,4.62,4.87,4.49
27886,https://www.airbnb.com/rooms/27886,"Romantic, stylish B&B houseboat in canal district",https://a0.muscache.com/pictures/02c2da9d-660e-451d-8a51-2f7a17469df7.jpg,Flip,2010-03-23,t,t,Centrum-West,52.38761,4.89188,Private room in houseboat,Private room,2,$140.00,2,243,4.94,4.93,4.95,4.95,4.92,4.89,4.79
28871,https://www.airbnb.com/rooms/28871,Comfortable double room,https://a0.muscache.com/pictures/160889/362340f7_original.jpg,Edwin,2010-05-13,t,t,Centrum-West,52.36775,4.89092,Private room in rental unit,Private room,2,$75.00,2,454,4.88,4.93,4.89,4.95,4.94,4.97,4.83
29051,https://www.airbnb.com/rooms/29051,Comfortable single room,https://a0.muscache.com/pictures/162009/bd6be2f8_original.jpg,Edwin,2010-05-13,t,t,Centrum-Oost,52.36584,4.89111,Private room in rental unit,Private room,1,$55.00,2,602,4.79,4.88,4.85,4.91,4.91,4.88,4.77
44391,https://www.airbnb.com/rooms/44391,Quiet 2-bedroom Amsterdam city centre apartment,https://a0.muscache.com/pictures/97741545/39000c13_original.jpg,Jan,2010-08-08,f,t,Centrum-Oost,52.37168,4.91471,Entire rental unit,Entire home/apt,4,$240.00,3,44,4.72,4.68,4.45,4.95,4.9,4.68,4.5
49552,https://www.airbnb.com/rooms/49552,Multatuli Luxury Guest Suite in top location,https://a0.muscache.com/pictures/a6d6d2ee-3196-4e3b-b0ec-d26b71d598ec.jpg,Joanna & MP,2010-09-06,t,t,Centrum-West,52.38028,4.89089,Entire guest suite,Entire home/apt,3,$260.00,3,451,4.92,4.92,4.91,4.95,4.97,4.98,4.78
50523,https://www.airbnb.com/rooms/50523,B & B de 9 Straatjes (city center),https://a0.muscache.com/pictures/290179/a6be901e_original.jpg,Raymond,2010-09-12,t,t,Centrum-West,52.36811,4.88262,Private room in bed and breakfast,Private room,2,$127.00,2,363,4.87,4.9,4.88,4.87,4.85,4.94,4.83
55868,https://www.airbnb.com/rooms/55868,Apartment near Museumplein (centre),https://a0.muscache.com/pictures/411347/2c516428_original.jpg,Cornelie,2010-10-17,f,t,Zuid,52.35597,4.88512,Entire rental unit,Entire home/apt,4,$149.00,3,95,4.86,4.91,4.86,4.95,4.98,4.95,4.8
62015,https://www.airbnb.com/rooms/62015,"Charming, beautifully & sunny place",https://a0.muscache.com/pictures/e6cb417b-6d76-46eb-9f08-bbf62468318e.jpg,Jessica,2010-11-27,f,t,Oud-Oost,52.36431,4.93122,Entire rental unit,Entire home/apt,2,$120.00,2,36,4.91,4.94,4.88,5.0,4.94,4.68,4.59
80635,https://www.airbnb.com/rooms/80635,TOP LOCATED Canalhouse B&B Jordaan,https://a0.muscache.com/pictures/2da32e98-8c3a-473e-99e0-0d98bf2319f9.jpg,Riks,2011-03-11,t,t,Centrum-West,52.37828,4.8944,Private room in home,Private room,1,$113.00,3,238,4.77,4.74,4.82,4.85,4.79,4.95,4.58
82482,https://www.airbnb.com/rooms/82482,The Backroom - Central private appt,https://a0.muscache.com/pictures/cf36d052-ba6b-4bc0-8b86-e69feab1a2df.jpg,Shawna,2010-07-31,t,t,Centrum-West,52.36968,4.88122,Entire guesthouse,Entire home/apt,4,$119.00,2,958,4.5,4.58,4.3,4.77,4.72,4.92,4.44
91535,https://www.airbnb.com/rooms/91535,"Privat room and shared Houseboat ""Ramona"" centre",https://a0.muscache.com/pictures/29366e0f-ec53-4330-9538-b6cb2e0c09b9.jpg,Michiel,2011-04-08,t,t,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room in boat,Private room,2,$170.00,1,106,4.77,4.87,4.65,4.84,4.85,4.91,4.68
97221,https://www.airbnb.com/rooms/97221,Beautiful and spacious room,https://a0.muscache.com/pictures/23266196/4d203a28_original.jpg,Gianni,2010-08-09,f,t,Slotervaart,52.34801,4.83639,Private room in bed and breakfast,Private room,2,$61.00,2,256,4.59,4.67,4.88,4.73,4.75,4.33,4.47
