address,id,lat,lng,location,name,,,
160 Chiswick High Rd,36083,51.49288179,-0.25464892,London,The Old Cinema,Antique Shop,http://tour-pedia.org/api/getPlaceDetails?id=36083,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36083
,47425,51.444805944444,-0.138557475,London,Cambray Road,Apres Ski Bar,http://tour-pedia.org/api/getPlaceDetails?id=47425,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=47425
,61258,51.531809,-0.23301,London,Adventure,Apres Ski Bar,http://tour-pedia.org/api/getPlaceDetails?id=61258,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=61258
157 linwood cres,66674,51.6623599,-0.0616437,London,Shining starz,Apres Ski Bar,http://tour-pedia.org/api/getPlaceDetails?id=66674,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=66674
394 lea bridge rd,66906,51.5713264,-0.0219927,London,China golden gate,Apres Ski Bar,http://tour-pedia.org/api/getPlaceDetails?id=66906,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=66906
,72529,51.414096529364,-0.0085079669952393,London,Wolfsberghof,Apres Ski Bar,http://tour-pedia.org/api/getPlaceDetails?id=72529,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=72529
County Hall,43578,51.502291463521,-0.11926174163818,London,Sea Life London Aquarium,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=43578,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=43578
Leatherhead Rd.,48912,51.349186312908,-0.31572891666551,London,Sea Life,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=48912,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=48912
,74960,51.514173,-0.266005,London,Jarv,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=74960,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=74960
,81757,51.544409047087,-0.09916427290649,London,Canonbury Aquarium,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=81757,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=81757
