address,id,lat,lng,location,name,subCategory,details,reviews
10 rue des Immeubles Industriels,87572,48.84953114483,2.3928544226342,Paris,Arcade Street,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=87572,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87572
Cour Bérard,91835,48.854308646341,2.3662394285202,Paris,#Appartement4,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=91835,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91835
Parc de la Villette,83573,48.890631905558,2.3900761307413,Paris,Pavillon Paul Delouvrier,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=83573,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83573
7 rond-point des Champs-Élysées,83609,48.868614071405,2.3088401556015,Paris,Artcurial,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=83609,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83609
60 Rue de Bassano,84235,48.871659203246,2.3003911972046,Paris,Espace Culturel Louis Vuitton,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=84235,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84235
2 Rue Charles Nodier,84982,48.884372979613,2.3449059296629,Paris,Marché Saint-Pierre,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=84982,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84982
48 Rue Vieille du Temple,85938,48.858238266037,2.358552493322,Paris,L'Espace des Blancs-Manteaux,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=85938,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85938
7bis rue René Goscinny,87863,48.830801685139,2.3801647866044,Paris,Galerie Itinerrance,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=87863,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87863
12 rue Cantagrel,88238,48.823472446056,2.3764735307265,Paris,Cité-Refuge De L'Armée Du Salut Le Corbusier,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=88238,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88238
Berges de Seine,88861,48.862290116178,2.2987466597392,Paris,Photoquai,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=88861,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88861
