address,id,lat,lng,location,name,subCategory,,
,19020,41.820411452525,12.566957867534,Rome,Aereoporto Valerio Catullo,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=19020,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=19020
,22072,41.739162445068,12.278576850891,Rome,verso casa .....,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=22072,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=22072
,23129,41.877599,12.44108,Rome,Tozzi,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=23129,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=23129
,24056,41.806851,12.516407,Rome,Pool Party Monster,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=24056,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=24056
,24684,41.979139,12.475642,Rome,Piscina Di Bibi,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=24684,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=24684
,25121,41.924198150635,12.390560150146,Rome,pisciatina di cane,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=25121,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25121
Y,25984,41.87194,12.56738,Rome,Yeditepe çamlık,Aquarium,http://tour-pedia.org/api/getPlaceDetails?id=25984,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25984
"Via Nepal, 29",3782,41.823700238211,12.461499607669,Rome,Translated,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=3782,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3782
"Via Aristide Staderini, 83",5036,41.891088639084,12.587403059006,Rome,Quasar Elite,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=5036,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5036
Via dell' Orsa Minore,5095,41.812375815136,12.446087836233,Rome,Via dell' Orsa Minore,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=5095,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5095
,6655,41.829307,12.46148,Rome,GiocaGiò,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=6655,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6655
,7530,41.947015,12.456087,Rome,Stefano,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=7530,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7530
Via Tuscolana 1055,8427,41.849456331292,12.573959827423,Rome,Killzone3 Torneo Ufficiale - Playstation & Fastweb,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=8427,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8427
"Via Ascanio Fenizi, 29",8603,41.861610293879,12.454003392201,Rome,Netvana,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=8603,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8603
,10321,41.958390767969,12.48674616782,Rome,Rampa Industriale,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=10321,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=10321
Via Melville,11836,41.806579701019,12.481213821653,Rome,Sotto dar De Cinti,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=11836,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11836
Cineland,12588,41.747494291779,12.286705970764,Rome,timecity,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=12588,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12588
Via Arco Di Travertino 48,15844,41.866649156601,12.53504352529,Rome,Sala Giochi Extraball Travertino,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=15844,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15844
,18462,41.928494260877,12.518367106187,Rome,Xcalibur Laser Game,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=18462,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=18462
Via Delle Cisternole 171,19225,41.859528048793,12.670302965682,Rome,Smash arena paintball,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=19225,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=19225
,19339,41.7467918396,12.273977279663,Rome,a casa ....mia !!,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=19339,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=19339
