address,name,id,lat,lng,location,subCategory,details,reviews
via dei promontori 398,Regina Di Saba,5125,41.734912,12.298853,Rome,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=5125,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5125
"Via Capo Delle Armi, 26-28",Ha-Hu,21808,41.740623031212,12.286356058215,Rome,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=21808,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=21808
Via Capo Delle Armi,Selam,15924,41.740624,12.286186,Rome,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=15924,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15924
,Buonanotte a tutti..belli e brutti...,12282,41.861600110381,12.412377341646,Rome,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=12282,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12282
,Apparecchio la tavola,11323,41.863431715954,12.431696822535,Rome,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=11323,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11323
Viale della Stazione Prenestina 55,Enqutatash,4590,41.894534820383,12.546405269823,Rome,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=4590,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4590
"Viale Ippocrate, 43",Sahara,1147,41.908518922668,12.520091458683,Rome,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=1147,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1147
Via dei Monti di Pietralata 53,Zighini,5740,41.91103105149,12.536051918656,Rome,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=5740,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5740
"Via dei Monti di Pietralata, 43",Zighini,11485,41.916713093328,12.549016164886,Rome,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=11485,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11485
,subway,4905,41.810991,12.458812,Rome,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=4905,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4905
Via Aurelia 1051,Big Bang,1895,41.883455,12.380046844482,Rome,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=1895,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1895
"Via Fratelli Bonnet, 21","Homebaked ""Grandma's Kitchen""",25150,41.885257,12.460455,Rome,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=25150,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25150
,Ristorante,12140,41.942161,12.371248,Rome,American Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=12140,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12140
,Kebab e Pizza,11560,41.857496,12.503462,Rome,Arepa Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=11560,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11560
,Il Pascià,12534,41.862694143318,12.684993123541,Rome,Arepa Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=12534,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12534
,Ristorante 2 Archi,12214,41.867108344059,12.627258406383,Rome,Arepa Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=12214,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12214
,Aladdin,11024,41.880119464785,12.572808296702,Rome,Arepa Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=11024,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11024
,ristorante,22284,41.865364095105,12.584476418796,Rome,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=22284,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=22284
